Pokemon,No.,Caught?,Ruby,Sapphire,Leafgreen,Firered,Emerald,Colosseum,XD: Gale of Darkness
Kecleon,352,FALSE,"Routes 118, 119, 120, 121 & 123 (Grass) Fortree City, Route 120 (Hidden, Requires Devon Scope)","Routes 118, 119, 120, 121 & 123 (Grass) Fortree City, Route 120 (Hidden, Requires Devon Scope)",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,"Routes 118, 119, 120, 121 & 123 (Grass) Fortree City, Route 120 (Hidden, Requires Devon Scope)",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Shuppet,353,FALSE,"Mt. Pyre Floors 4, 5, 6 & Summit","Routes 121 & 123, Mt. Pyre Floors 1, 2, 3, 4, 5, 6, Summit & Half Way",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,"Routes 121 & 123, Mt. Pyre Floors 1, 2, 3, 4, 5, 6, Summit & Half Way",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Banette,354,FALSE,Evolve Shuppet,"Sky Pillar Floors 1, 3 & 5",Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,"Sky Pillar Floors 1, 3 & 5",Trade from Ruby/Sapphire/Emerald/XD,Snagged from Cipher Peon Litnar in Citadark Isle
Duskull,355,FALSE,"Routes 121 & 123, Mt. Pyre Floors 1, 2, 3, 4, 5, 6, Summit & Half Way","Mt. Pyre Floors 4, 5, 6 & Summit",Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,"Mt. Pyre Floors 4, 5, 6 & Summit",Trade from Ruby/Sapphire/Emerald/XD,Snagged from Cipher Peon Labor in ONBS Station
Dusclops,356,FALSE,"Sky Pillar Floors 1, 3 & 5",Evolve Duskull,Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Evolve Duskull,Trade from Ruby/Sapphire/Emerald/XD,Evolve Duskull
Tropius,357,FALSE,Route 119,Route 119,Trade from Ruby/Sapphire/Emerald/Colosseum,Trade from Ruby/Sapphire/Emerald/Colosseum,Route 119,Snagged from Cipher Peon Ston in Realgam Tower Colosseum,Trade from Ruby/Sapphire/Emerald/Colosseum
Chimecho,358,FALSE,Mt. Pyre Summit,Mt. Pyre Summit,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Mt. Pyre Summit,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Absol,359,FALSE,Route 120,Route 120,Trade from Ruby/Sapphire/Emerald/Colosseum,Trade from Ruby/Sapphire/Emerald/Colosseum,Route 120,Snagged from Rider Delan in Realgam Tower Colosseum,Trade from Ruby/Sapphire/Emerald/Colosseum
Wynaut,360,FALSE,Mirage Island,Mirage Island,Breed Wobbuffet with Lax Incense attached,Breed Wobbuffet with Lax Incense attached,Mirage Island,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Snorunt,361,FALSE,Shoal Cave Ice Room,Shoal Cave Ice Room,Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Shoal Cave Ice Room,Trade from Ruby/Sapphire/Emerald/XD,Snagged from Cipher Peon Exinn in Cipher Lab
Glalie,362,FALSE,Evolve Snorunt,Evolve Snorunt,Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Evolve Snorunt,Trade from Ruby/Sapphire/Emerald/XD,Evolve Snorunt
Spheal,363,FALSE,Shoal Cave,Shoal Cave,Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Shoal Cave,Trade from Ruby/Sapphire/Emerald/XD,Snagged from Cipher Peon Blusix in Cipher Lab
Sealeo,364,FALSE,Evolve Spheal,Evolve Spheal,Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Evolve Spheal,Trade from Ruby/Sapphire/Emerald/XD,Evolve Spheal
Walrein,365,FALSE,Evolve Sealeo,Evolve Sealeo,Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Evolve Sealeo,Trade from Ruby/Sapphire/Emerald/XD,Evolve Sealeo
Clamperl,366,FALSE,Underwater Routes 124 & 126,Underwater Routes 124 & 126,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Underwater Routes 124 & 126,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/Colosseum
Huntail,367,FALSE,Evolve Clamperl,Evolve Clamperl,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Clamperl,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Gorebyss,368,FALSE,Evolve Clamperl,Evolve Clamperl,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Clamperl,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Relicanth,369,FALSE,Underwater Routes 124 & 126,Underwater Routes 124 & 126,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Underwater Routes 124 & 126,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Luvdisc,370,FALSE,Route 128 & Evergrande City (Fish),Route 128 & Evergrande City (Fish),Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Route 128 & Evergrande City (Fish),Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Bagon,371,FALSE,Deep in Meteor Falls,Deep in Meteor Falls,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Deep in Meteor Falls,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Shelgon,372,FALSE,Evolve Bagon,Evolve Bagon,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Bagon,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Salamence,373,FALSE,Evolve Shelgon,Evolve Shelgon,Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Evolve Shelgon,Trade from Ruby/Sapphire/Emerald/XD,Snagged from Cipher Admin Eldes in Citadark Isle
Beldum,374,FALSE,Steven's House after Defeating Elite Four,Steven's House after Defeating Elite Four,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Steven's House after Defeating Elite Four,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Metang,375,FALSE,Evolve Beldum,Evolve Beldum,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Beldum,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Metagross,376,FALSE,Evolve Metang,Evolve Metang,Trade from Ruby/Sapphire/Emerald/Colosseum,Trade from Ruby/Sapphire/Emerald/Colosseum,Evolve Metang,Snagged from Cipher Nascour in Realgam Tower Colosseum,Trade from Ruby/Sapphire/Emerald/Colosseum
Regirock,377,FALSE,Desert Ruins,Desert Ruins,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Desert Ruins,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Regice,378,FALSE,Island Cave (Route 105),Island Cave (Route 105),Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Island Cave (Route 105),Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Registeel,379,FALSE,Ancient Tomb (Route 120),Ancient Tomb (Route 120),Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Ancient Tomb (Route 120),Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Latias,380,FALSE,Southern Island,Wild in Hoenn after beating Elite Four,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Wild in Hoenn after beating Elite Four (Pick Red) OR Southern Island,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Latios,381,FALSE,Wild in Hoenn after beating Elite Four,Southern Island,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Wild in Hoenn after beating Elite Four (Pick Blue) OR Southern Island,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Kyogre,382,FALSE,Trade from Sapphire/Emerald,Cave of Origin,Trade from Sapphire/Emerald,Trade from Sapphire/Emerald,Marine Cave,Trade from Sapphire/Emerald,Trade from Sapphire/Emerald
Groudon,383,FALSE,Cave of Origin,Trade from Ruby/Emerald,Trade from Ruby/Emerald,Trade from Ruby/Emerald,Terra Cave,Trade from Ruby/Emerald,Trade from Ruby/Emerald
Rayquaza,384,FALSE,Sky Pillar,Sky Pillar,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Sky Pillar,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Jirachi,385,FALSE,"Obtain from Special Event, Colosseum Bonus Disk or Pokémon Channel","Obtain from Special Event, Colosseum Bonus Disk or Pokémon Channel",Obtain from Special Event,Obtain from Special Event,"Obtain from Special Event, Colosseum Bonus Disk or Pokémon Channel",Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Deoxys,386,FALSE,Trade from FireRed/LeafGreen/Emerald,Trade from FireRed/LeafGreen/Emerald,Birth Island,Birth Island,Birth Island,Trade from FireRed/LeafGreen/Emerald,Trade from Emerald/FireRed/LeafGreen
